CO_FRAC_RA,x,y,plata,tiemposMin,POB
1_6_9,-58.38024724,-34.59394055,7.5,13.11666667,439
1_7_1,-58.3786062,-34.59625085,7.5,11.51666667,314
1_7_10,-58.37699842,-34.59868693,7.5,12.25,221
1_7_11,-58.37495119,-34.59855901,0,11.63333333,108
1_7_12,-58.3729511,-34.59842975,6,15.86666667,283
1_7_13,-58.37128981,-34.59613095,6,14.86666667,979
1_7_2,-58.37476577,-34.59461043,7.5,13.96666667,419
1_7_3,-58.37321392,-34.59554531,6,16.68333333,133
1_7_4,-58.37306635,-34.59725059,6,14.5,348
1_7_5,-58.37425662,-34.59730649,6,15.63333333,244
1_7_6,-58.37560682,-34.59738768,0,13.13333333,169
1_7_7,-58.37707004,-34.5974165,7.5,11.38333333,325
1_7_8,-58.37853191,-34.59751405,7.5,12.96666667,347
1_7_9,-58.37845753,-34.59876249,7.5,11.06666667,192
1_8_1,-58.3858105,-34.596806,7.5,13.7,169
1_8_10,-58.37993911,-34.59883873,7.5,12.76666667,261
1_8_2,-58.3843732,-34.59673579,7.5,14.16666667,622
1_8_3,-58.38216143,-34.59772977,7.5,15.28333333,582
1_8_4,-58.38010024,-34.59639662,7.5,13.18333333,333
1_8_5,-58.38002099,-34.59763867,7.5,15.2,364
1_8_6,-58.38426817,-34.59797881,7.5,12.53333333,616
1_8_7,-58.38570959,-34.59806514,7.5,11.88333333,688
1_8_8,-58.38560738,-34.59918871,7.5,10.43333333,236
1_8_9,-58.38418424,-34.59910762,7.5,11.03333333,329
1_9_1,-58.38548742,-34.60035019,7.5,8.816666667,155
1_9_10,-58.37342051,-34.60024501,0,8.75,194
1_9_11,-58.37148739,-34.59949008,0,12.11666667,231
1_9_12,-58.37138283,-34.60066242,7.5,10.41666667,207
1_9_13,-58.3696289,-34.59998091,7.5,11.18333333,389
1_9_14,-58.36955971,-34.60215475,6,10.66666667,146
1_9_15,-58.37332699,-34.60198993,0,6.75,130
1_9_16,-58.37758177,-34.60224061,7.5,7.433333333,659
1_9_17,-58.37896134,-34.60346301,6.25,7.983333333,235
1_9_19,-58.37330004,-34.60312909,0,4.966666667,64
1_9_2,-58.38496785,-34.60296618,7.5,7.566666667,195
1_9_3,-58.38247403,-34.60173594,7.5,9.75,251
1_9_4,-58.37986442,-34.60003085,7.5,11.11666667,171
1_9_5,-58.37978628,-34.60119009,7.5,9.483333333,240
1_9_6,-58.37759917,-34.60108418,7.5,8.35,212
1_9_7,-58.37837674,-34.59997128,7.5,9.233333333,391
1_9_8,-58.37693846,-34.5998839,7.5,10.6,149
1_9_9,-58.37548054,-34.60035966,0,8.85,377
1_10_1,-58.38684197,-34.60042016,7.5,10.31666667,144
1_10_10,-58.38976787,-34.60290456,6.25,14.55,410
1_10_11,-58.39126786,-34.6029829,7.5,12.3,337
1_10_12,-58.39099137,-34.60419883,6.25,12.78333333,325
1_10_13,-58.38878998,-34.60405902,7.5,9.083333333,371
1_10_14,-58.38666883,-34.60389395,7.5,7.433333333,142
1_10_2,-58.38827637,-34.60048438,6,14.58333333,308
1_10_3,-58.38995119,-34.60056283,7.5,12.68333333,547
1_10_4,-58.39156996,-34.60063499,7.5,10.91666667,221
1_10_5,-58.39122008,-34.60179929,7.5,12.6,252
1_10_6,-58.38966097,-34.6017349,7.5,12.11666667,321
1_10_7,-58.38821958,-34.60166435,7.5,10.53333333,178
1_10_8,-58.38677085,-34.60217928,7.5,10.16666667,171
1_10_9,-58.38814601,-34.60280353,7.5,9.983333333,199
1_11_1,-58.39092792,-34.60543048,7.5,12.25,321
1_11_10,-58.38793549,-34.60762199,7.5,12.03333333,408
1_11_11,-58.38646068,-34.60751386,7.5,11.76666667,142
1_11_12,-58.38718131,-34.60876597,7.5,10.53333333,546
1_11_13,-58.38932048,-34.60894804,7.5,11.75,368
1_11_14,-58.39070712,-34.60904575,7.5,12.71666667,420
1_11_2,-58.38948415,-34.60533207,6.25,14.36666667,260
1_11_3,-58.3880328,-34.60522607,7.5,9.816666667,222
1_11_4,-58.38657251,-34.60571948,7.5,10.5,384
1_11_5,-58.38799085,-34.6064438,6.25,15.8,329
1_11_6,-58.38944582,-34.60652552,7.5,13.01666667,252
1_11_7,-58.39085786,-34.60660929,7.5,13.93333333,317
1_11_8,-58.39079325,-34.60779143,6,17.9,451
1_11_9,-58.3894046,-34.60771037,7.5,13.38333333,269
10_1_1,-58.52811189,-34.61334801,6.75,83.98333333,286
10_1_2,-58.52618921,-34.61513839,6.75,81.75,407
10_1_3,-58.5237556,-34.61661577,6.75,85.13333333,451
10_1_4,-58.52149807,-34.61851033,6.75,88.78333333,376
10_1_5,-58.51974159,-34.61980143,14,81.38333333,317
10_1_6,-58.52277398,-34.61994983,6.75,89.31666667,371
10_1_7,-58.52379745,-34.62057623,6.75,90.03333333,348
10_1_8,-58.51914101,-34.62177956,14,81.21666667,498
10_10_1,-58.49568385,-34.62110876,13.75,60.58333333,358
10_10_10,-58.48748016,-34.6246223,13.75,57.45,343
10_10_11,-58.48716439,-34.62244893,13.75,55.33333333,395
10_10_12,-58.48512655,-34.62434015,13.75,53.81666667,448
10_10_2,-58.49228078,-34.61897891,13.75,59.78333333,515
10_10_3,-58.4941409,-34.62157652,13.75,60.21666667,489
10_10_4,-58.49353037,-34.62281602,13.75,58.28333333,383
10_10_5,-58.49011626,-34.62122658,13.75,58.23333333,454
10_10_6,-58.49245466,-34.62367152,13.75,57.78333333,447
10_10_7,-58.49173791,-34.62461497,13.75,56.45,371
10_10_8,-58.49038133,-34.62512889,13.75,55.71666667,340
10_10_9,-58.48891736,-34.6261411,13.75,56.31666667,464
10_11_1,-58.48779648,-34.62842571,13.75,52.2,437
10_11_10,-58.48127566,-34.62883312,7.5,46.63333333,335
10_11_11,-58.47893382,-34.62824392,7.5,43.76666667,307
10_11_2,-58.48596783,-34.62828756,11.5,46.03333333,546
10_11_3,-58.48401798,-34.62587906,11.5,46.38333333,422
10_11_4,-58.48066725,-34.62571979,7.5,48.95,543
10_11_5,-58.47833365,-34.62458102,7.5,46.48333333,516
10_11_6,-58.47691944,-34.62660257,7.5,42.78333333,247
10_11_7,-58.4813918,-34.62764353,7.5,48.26666667,576
10_11_8,-58.48354963,-34.62707138,11.5,44.88333333,401
10_11_9,-58.48364446,-34.62907202,11.5,42.43333333,513
10_12_1,-58.48433163,-34.6308296,11.5,41.56666667,501
10_12_10,-58.48394746,-34.63217953,11.5,39.78333333,304
10_12_2,-58.48225204,-34.63106721,7.5,45.71666667,435
10_12_3,-58.48053124,-34.63045285,7.5,43.93333333,423
10_12_4,-58.47865488,-34.62979376,7.5,42.61666667,310
10_12_5,-58.47660455,-34.62945665,7.5,39.95,309
10_12_6,-58.47522313,-34.62989298,7.5,37.68333333,306
10_12_7,-58.47845114,-34.63116506,7.5,40.96666667,344
10_12_8,-58.47998582,-34.6322898,7.5,41.91666667,353
10_12_9,-58.48189896,-34.63262059,7.5,44.98333333,376
10_13_1,-58.49433983,-34.62669241,13.75,56.63333333,333
10_13_10,-58.48686435,-34.63366899,13.75,46.15,289
10_13_11,-58.48531894,-34.63228861,11.5,41.28333333,283
10_13_12,-58.48440311,-34.63344547,13.75,45.68333333,283
10_13_2,-58.49442288,-34.62813867,13.75,57.28333333,345
10_13_3,-58.49271586,-34.62810544,13.75,55.51666667,366
10_13_4,-58.49140333,-34.62852604,13.75,54.78333333,310
10_13_5,-58.49151278,-34.62956634,13.75,54.9,394
10_13_6,-58.49022876,-34.63042389,13.75,54.25,344
10_13_7,-58.4897581,-34.63222232,13.5,53.25,361
10_13_8,-58.48787107,-34.63099633,11.5,45.73333333,355
10_13_9,-58.48748882,-34.63257779,11.5,43.78333333,363
10_14_1,-58.49856573,-34.63114428,6.75,66.83333333,463
10_14_10,-58.49051686,-34.63718755,13.75,51.63333333,422
10_14_11,-58.48776931,-34.63654383,13.75,48.78333333,367
10_14_2,-58.49666923,-34.62956215,13.75,60.65,452
10_14_3,-58.49616366,-34.63155138,6.75,66.25,413
10_14_4,-58.49568948,-34.63290308,6.75,63.93333333,387
10_14_5,-58.49262097,-34.63245015,13.75,53.43333333,328
10_14_6,-58.49066785,-34.6342507,13.5,51.2,291
10_14_7,-58.49404077,-34.63462298,6.75,63.85,426
10_14_8,-58.49290257,-34.63622586,13.75,48.36666667,303
10_14_9,-58.48967707,-34.63562639,13.75,46.03333333,467
10_15_1,-58.50261295,-34.63422929,11.5,43.15,304
10_15_2,-58.49977636,-34.63348837,11.5,44.36666667,466
10_15_3,-58.4973096,-34.63520739,6.75,59.3,281
10_15_4,-58.49951068,-34.63510511,11.5,42.48333333,333
10_15_5,-58.50291766,-34.6360234,11.5,42.18333333,401
10_15_6,-58.50232609,-34.63764429,6.75,61.25,294
10_15_7,-58.49899568,-34.63721709,6.75,58.43333333,251
10_15_8,-58.49501101,-34.63725138,6.75,58,531
10_15_9,-58.49656188,-34.63822437,6.75,58.53333333,614
10_16_1,-58.50626282,-34.63820484,6.75,61.55,353
10_16_2,-58.50789317,-34.63930222,6.75,63.9,537
10_16_3,-58.50404206,-34.63911245,6.75,61.83333333,382
10_16_4,-58.50300157,-34.64023983,6.75,63.91666667,428
10_16_5,-58.50632435,-34.64106335,6.75,66.61666667,485
10_16_6,-58.50391518,-34.6426205,6.75,69.11666667,478
10_16_7,-58.50082554,-34.64179685,14,56.23333333,386
10_16_8,-58.5017553,-34.64450961,11.5,54.78333333,404
10_16_9,-58.49896524,-34.6437576,6.75,67.35,477
10_17_1,-58.50125393,-34.63954759,11.5,45.35,345
10_17_10,-58.4936462,-34.64403805,13.75,57.81666667,382
10_17_2,-58.49974547,-34.63910994,6.75,60.68333333,404
10_17_3,-58.49806877,-34.63999308,6.75,62.33333333,466
10_17_4,-58.49633055,-34.63947747,6.75,60.16666667,545
10_17_5,-58.49438574,-34.63998404,6.75,62.68333333,522
10_17_6,-58.49062667,-34.6401374,13.75,54.23333333,439
10_17_7,-58.49123236,-34.64204742,13.75,55.75,449
10_17_8,-58.49469363,-34.64257678,6.75,65.86666667,346
10_17_9,-58.4968445,-34.64226002,6.75,64.91666667,324
10_18_1,-58.48940874,-34.63881999,13.5,52.63333333,401
10_18_10,-58.48044104,-34.6378797,7.5,47.41666667,248
10_18_11,-58.484244,-34.63968087,13.75,55.18333333,334
10_18_12,-58.48696384,-34.64036155,13.75,54.11666667,380
10_18_2,-58.487345,-34.63823917,13.75,48.65,376
10_18_3,-58.48542559,-34.63796428,13.5,49.16666667,402
10_18_4,-58.48467257,-34.63657704,13.75,47.41666667,604
10_18_5,-58.48589295,-34.63480985,13.75,44.21666667,370
